Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-June-2014,1409.00,1417.00,1395.00,1413.15,1407.263927427961579509,9370,1221,13186063.00,4404,47.00,22.00,4.15
5-June-2014,1392.90,1401.25,1383.00,1399.00,1393.647280280410229780,7703,1106,10735265.00,2499,32.44,18.25,6.10
4-June-2014,1408.60,1409.80,1382.45,1392.00,1391.665951439864483342,8855,1076,12323202.00,3087,34.86,27.35,-16.60
3-June-2014,1396.95,1405.00,1384.00,1400.15,1394.820452059788552679,10972,1470,15303970.00,3731,34.00,21.00,3.20
2-June-2014,1403.90,1403.90,1380.50,1386.95,1389.124106495390034186,9653,982,13409215.00,2272,23.54,23.40,-16.95
30-May-2014,1369.00,1394.00,1365.00,1385.25,1380.486920955008085227,21026,2153,29026118.00,5554,26.41,29.00,16.25
29-May-2014,1365.00,1370.95,1345.00,1365.05,1361.928583319460629265,12014,1247,16362210.00,3759,31.29,25.95,0.05
28-May-2014,1339.00,1361.20,1335.00,1357.80,1353.000514986095375424,9709,1363,13136282.00,3201,32.97,26.20,18.80
27-May-2014,1337.00,1339.00,1326.00,1328.00,1329.728329029878273699,5422,820,7209787.00,2390,44.08,13.00,-9.00
26-May-2014,1370.00,1375.00,1331.00,1336.05,1347.079846430480633717,20577,2459,27718862.00,10786,52.42,44.00,-33.95
23-May-2014,1374.90,1405.00,1325.00,1373.85,1375.257600348349299342,50524,5032,69483515.00,16515,32.69,80.00,-1.05
22-May-2014,1365.00,1387.95,1356.90,1362.25,1369.747934782608695652,9200,1457,12601681.00,3331,36.21,31.05,-2.75
21-May-2014,1369.95,1393.00,1360.00,1364.80,1377.120706227550968786,19767,3062,27221545.00,3673,18.58,33.00,-5.15
20-May-2014,1337.00,1374.70,1327.50,1361.75,1347.860305421748488264,19514,2596,26302146.00,6428,32.94,47.20,24.75
19-May-2014,1400.00,1405.00,1333.00,1336.35,1356.726088258785942492,40064,3238,54355874.00,24009,59.93,72.00,-63.65
16-May-2014,1410.00,1420.00,1365.00,1393.15,1395.908697119711971197,17776,2273,24813673.00,7077,39.81,55.00,-16.85
15-May-2014,1410.15,1418.95,1391.00,1397.00,1398.853243000896682275,10037,1653,14040290.00,4026,40.11,27.95,-13.15
14-May-2014,1407.00,1425.00,1404.85,1409.20,1414.661380077907623817,7188,982,10168586.00,2943,40.94,20.15,2.20
13-May-2014,1433.50,1433.50,1402.00,1407.20,1413.173548094373865698,13224,1966,18687807.00,5781,43.72,31.50,-26.30
12-May-2014,1415.00,1432.00,1401.60,1415.40,1419.601453325880380100,12523,1418,17777669.00,5378,42.94,30.40,0.40
9-May-2014,1393.00,1425.40,1393.00,1415.05,1417.312968800956625720,9199,1105,13037862.00,4291,46.65,32.40,22.05
8-May-2014,1419.00,1426.00,1404.70,1410.05,1414.224375318714941356,5883,1459,8319882.00,2533,43.06,21.30,-8.95
7-May-2014,1430.00,1436.00,1400.45,1411.55,1422.526716634429400386,8272,1227,11767141.00,3282,39.68,35.55,-18.45
6-May-2014,1444.10,1444.35,1420.10,1423.65,1434.688014881743289928,3763,935,5398731.00,1754,46.61,24.25,-20.45
5-May-2014,1440.00,1448.00,1433.50,1435.90,1441.420100283409635927,4587,1033,6611794.00,2223,48.46,14.50,-4.10
2-May-2014,1444.00,1444.20,1428.60,1437.60,1439.974225222460877569,3259,1109,4692876.00,1291,39.61,15.60,-6.40
30-April-2014,1460.05,1466.40,1420.00,1434.20,1449.320880849390483680,7629,1383,11056869.00,3264,42.78,46.40,-25.85
29-April-2014,1470.00,1475.00,1451.25,1461.10,1461.410770345327215648,8282,1661,12103404.00,4516,54.53,23.75,-8.90
28-April-2014,1477.00,1484.00,1469.00,1472.35,1477.069501429814745741,8043,1093,11880070.00,3720,46.25,15.00,-4.65
25-April-2014,1480.00,1489.00,1466.00,1481.30,1480.755533762958811992,14276,1587,21139266.00,7655,53.62,23.00,1.30
23-April-2014,1449.00,1485.00,1436.00,1472.20,1459.546286259376490482,23063,2437,33661516.00,10168,44.09,49.00,23.20
22-April-2014,1421.00,1447.00,1415.55,1442.75,1437.330457588515425495,14489,1921,20825481.00,6476,44.70,31.45,21.75
21-April-2014,1406.00,1429.00,1406.00,1421.15,1415.529806884970612930,5955,1130,8429480.00,3644,61.19,23.00,15.15
17-April-2014,1399.00,1409.00,1390.00,1405.65,1402.881469529601588680,8057,1628,11303016.00,3137,38.94,19.00,6.65
16-April-2014,1400.00,1413.90,1377.55,1383.35,1395.997916666666666666,8160,1502,11391343.00,3515,43.08,36.35,-16.65
15-April-2014,1424.00,1425.00,1389.00,1396.35,1404.314428787702340747,8587,1694,12058848.00,3079,35.86,36.00,-27.65
11-April-2014,1402.00,1428.80,1402.00,1419.55,1421.997973604904915307,19246,3221,27367773.00,6011,31.23,26.80,17.55
10-April-2014,1400.00,1413.00,1384.25,1408.00,1400.503024560892063260,13721,2021,19216302.00,6249,45.54,28.75,8.00
9-April-2014,1385.00,1414.95,1385.00,1393.10,1396.810147159479808350,11688,1487,16325917.00,5450,23.31,29.95,8.10
7-April-2014,1394.00,1425.00,1356.00,1388.80,1384.850768105340160936,5468,1116,7572364.00,2187,20.00,69.00,-5.20
4-April-2014,1399.00,1405.00,1376.25,1390.35,1389.164326428472125677,21579,1922,29976777.00,9312,43.15,28.75,-8.65
3-April-2014,1349.00,1398.00,1341.00,1394.20,1375.491346609767662399,25308,2297,34810935.00,12835,50.72,57.00,45.20
2-April-2014,1366.00,1366.00,1343.30,1346.95,1348.921520557230001586,138686,1402,187076530.00,131883,95.09,22.70,-19.05
1-April-2014,1375.00,1376.80,1341.00,1354.15,1354.956058588548601864,9012,1207,12210864.00,4241,47.06,35.80,-20.85
31-March-2014,1372.00,1380.00,1369.00,1373.45,1373.876917177914110429,5216,640,7166142.00,2606,49.96,11.00,1.45
28-March-2014,1364.00,1375.00,1351.00,1369.70,1364.401609235613083785,5717,751,7800284.00,2583,45.18,24.00,5.70
